heart_rate,GSR,time
65.8,0.198491465,2021/12/6 17:28
65.7,0.198373339,2021/12/6 17:28
65.6,0.198373339,2021/12/6 17:28
65.7,0.198925801,2021/12/6 17:28
66.1,0.198925801,2021/12/6 17:28
67.1,0.198985193,2021/12/6 17:28
68.6,0.199044586,2021/12/6 17:28
70.4,0.199481348,2021/12/6 17:28
71.9,0.199600798,2021/12/6 17:28
72.9,0.199600798,2021/12/6 17:28
73.2,0.2,2021/12/6 17:28
72.7,0.199600798,2021/12/6 17:28
71.5,0.199680511,2021/12/6 17:28
70.1,0.200240288,2021/12/6 17:28
68.8,0.200120072,2021/12/6 17:28
68,0.200240288,2021/12/6 17:28
67.4,0.200803213,2021/12/6 17:28
67.1,0.200742766,2021/12/6 17:28
66.7,0.200803213,2021/12/6 17:28
66.1,0.200883889,2021/12/6 17:28
65.2,0.200803213,2021/12/6 17:28
64.5,0.201268007,2021/12/6 17:28
64.3,0.201450443,2021/12/6 17:28
64.8,0.20132877,2021/12/6 17:28
65.8,0.201450443,2021/12/6 17:28
66.9,0.201979398,2021/12/6 17:28
67.8,0.201674141,2021/12/6 17:28
68,0.201979398,2021/12/6 17:28
67.4,0.202101859,2021/12/6 17:28
66.3,0.202265505,2021/12/6 17:28
65.4,0.202101859,2021/12/6 17:28
65,0.202552157,2021/12/6 17:28
65.3,0.202634245,2021/12/6 17:28
66.1,0.202593201,2021/12/6 17:28
67.2,0.202634245,2021/12/6 17:29
68,0.20321073,2021/12/6 17:29
68.2,0.20321073,2021/12/6 17:29
68,0.203293352,2021/12/6 17:29
67.9,0.203458934,2021/12/6 17:29
68,0.203748981,2021/12/6 17:29
68.5,0.203748981,2021/12/6 17:29
69.4,0.203873598,2021/12/6 17:29
70.1,0.203873598,2021/12/6 17:29
70.4,0.203873598,2021/12/6 17:29
69.7,0.204457175,2021/12/6 17:29
68.4,0.204415372,2021/12/6 17:29
66.8,0.204415372,2021/12/6 17:29
65.7,0.204498978,2021/12/6 17:29
65.1,0.204666531,2021/12/6 17:29
65.5,0.204960033,2021/12/6 17:29
66.6,0.205044084,2021/12/6 17:29
67.9,0.205044084,2021/12/6 17:29
68.7,0.205044084,2021/12/6 17:29
68.9,0.205592105,2021/12/6 17:29
68.6,0.205592105,2021/12/6 17:29
67.9,0.205592105,2021/12/6 17:29
67.1,0.205592105,2021/12/6 17:29
66.8,0.206143063,2021/12/6 17:29
67.1,0.205718988,2021/12/6 17:29
68,0.206143063,2021/12/6 17:29
69,0.206270627,2021/12/6 17:29
69.9,0.206270627,2021/12/6 17:29
70.4,0.206270627,2021/12/6 17:29
70.4,0.206761107,2021/12/6 17:29
69.9,0.206270627,2021/12/6 17:29
69.6,0.206825233,2021/12/6 17:29
69.7,0.207253886,2021/12/6 17:29
70.4,0.206953642,2021/12/6 17:29
71.5,0.207382829,2021/12/6 17:29
72.9,0.20746888,2021/12/6 17:29
74.2,0.20746888,2021/12/6 17:29
75,0.20746888,2021/12/6 17:29
75.3,0.208029956,2021/12/6 17:29
75.2,0.208159867,2021/12/6 17:29
75,0.208029956,2021/12/6 17:29
75,0.208159867,2021/12/6 17:29
75.2,0.208463623,2021/12/6 17:29
75.5,0.208376971,2021/12/6 17:29
75.6,0.208594076,2021/12/6 17:29
75,0.208681135,2021/12/6 17:29
73.6,0.208681135,2021/12/6 17:29
71.6,0.208681135,2021/12/6 17:29
69.6,0.209117524,2021/12/6 17:29
68,0.208811861,2021/12/6 17:29
67.3,0.208681135,2021/12/6 17:29
67.6,0.209248797,2021/12/6 17:29
68.8,0.209380235,2021/12/6 17:29
70.4,0.209248797,2021/12/6 17:29
71.5,0.209731553,2021/12/6 17:29
72,0.20977554,2021/12/6 17:29
71.6,0.20977554,2021/12/6 17:29
70.4,0.209907641,2021/12/6 17:29
68.7,0.209907641,2021/12/6 17:29
67.1,0.210482004,2021/12/6 17:29
66.1,0.210482004,2021/12/6 17:30
65.7,0.210482004,2021/12/6 17:30
65.6,0.210482004,2021/12/6 17:30
65.8,0.210570646,2021/12/6 17:30
65.9,0.210726066,2021/12/6 17:30
65.7,0.210948233,2021/12/6 17:30
65.1,0.211014982,2021/12/6 17:30
64.7,0.211148649,2021/12/6 17:30
64.7,0.211148649,2021/12/6 17:30
65.5,0.211148649,2021/12/6 17:30
66.9,0.211505932,2021/12/6 17:30
68.9,0.211774672,2021/12/6 17:30
71,0.211685013,2021/12/6 17:30
72.7,0.212224109,2021/12/6 17:30
73.6,0.211774672,2021/12/6 17:30
73.7,0.212224109,2021/12/6 17:30
73.3,0.212359312,2021/12/6 17:30
72.7,0.212359312,2021/12/6 17:30
72.2,0.212359312,2021/12/6 17:30
72,0.212992545,2021/12/6 17:30
72.3,0.21260775,2021/12/6 17:30
72.8,0.212901852,2021/12/6 17:30
72.5,0.212992545,2021/12/6 17:30
