GSR,csv_time_GSR
2.211900022,2021/3/14 11:17
2.206044562,2021/3/14 11:17
2.183406114,2021/3/14 11:17
2.182929491,2021/3/14 11:17
2.180074123,2021/3/14 11:17
2.181976871,2021/3/14 11:17
2.180074123,2021/3/14 11:17
2.190100745,2021/3/14 11:17
2.186270223,2021/3/14 11:17
2.181500873,2021/3/14 11:17
2.184359983,2021/3/14 11:17
2.180549498,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.184359983,2021/3/14 11:17
2.182929491,2021/3/14 11:17
2.184359983,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.182453077,2021/3/14 11:17
2.185314685,2021/3/14 11:17
2.182453077,2021/3/14 11:17
2.182929491,2021/3/14 11:17
2.183406114,2021/3/14 11:17
2.182453077,2021/3/14 11:17
2.186270223,2021/3/14 11:17
2.183406114,2021/3/14 11:17
2.186270223,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.188662727,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.189621196,2021/3/14 11:17
2.161227577,2021/3/14 11:17
2.180549498,2021/3/14 11:17
2.186270223,2021/3/14 11:17
2.187705097,2021/3/14 11:17
2.178649237,2021/3/14 11:17
2.179123992,2021/3/14 11:17
2.17817469,2021/3/14 11:17
2.179598954,2021/3/14 11:17
2.181500873,2021/3/14 11:17
2.18483723,2021/3/14 11:17
2.177226214,2021/3/14 11:17
2.176278564,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.177226214,2021/3/14 11:17
2.180074123,2021/3/14 11:17
2.180549498,2021/3/14 11:17
2.173913043,2021/3/14 11:17
2.207018318,2021/3/14 11:17
2.199736032,2021/3/14 11:17
2.210433245,2021/3/14 11:17
2.205558006,2021/3/14 11:17
2.202158115,2021/3/14 11:17
2.210433245,2021/3/14 11:17
2.200220022,2021/3/14 11:17
2.197802198,2021/3/14 11:17
2.203128442,2021/3/14 11:17
2.203128442,2021/3/14 11:17
2.204585538,2021/3/14 11:17
2.193944713,2021/3/14 11:17
2.208480565,2021/3/14 11:17
2.212878956,2021/3/14 11:17
2.19876869,2021/3/14 11:17
2.208480565,2021/3/14 11:17
2.203128442,2021/3/14 11:17
2.209456474,2021/3/14 11:17
2.204585538,2021/3/14 11:17
2.188662727,2021/3/14 11:17
2.202643172,2021/3/14 11:17
2.202158115,2021/3/14 11:17
2.207018318,2021/3/14 11:17
2.205558006,2021/3/14 11:17
2.206044562,2021/3/14 11:17
2.200704225,2021/3/14 11:17
2.200704225,2021/3/14 11:17
2.213368747,2021/3/14 11:17
2.208480565,2021/3/14 11:17
2.202158115,2021/3/14 11:17
2.206044562,2021/3/14 11:17
2.209944751,2021/3/14 11:17
2.202643172,2021/3/14 11:17
2.199736032,2021/3/14 11:17
2.205071665,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.179598954,2021/3/14 11:17
2.184359983,2021/3/14 11:17
2.182929491,2021/3/14 11:17
2.182453077,2021/3/14 11:17
2.179123992,2021/3/14 11:17
2.181025082,2021/3/14 11:17
2.183882944,2021/3/14 11:17
2.184359983,2021/3/14 11:17
2.186748305,2021/3/14 11:17
2.173440556,2021/3/14 11:17
2.17817469,2021/3/14 11:17
2.172496198,2021/3/14 11:17
2.176752286,2021/3/14 11:17
