heart_rate,motion,GSR,battery_info,time,fix_index
95.8,9.9898,1.988466892,100,2020/8/28 17:49,
96.8,9.9958,1.988862449,100,2020/8/28 17:49,
98.2,9.9875,1.981964302,100,2020/8/28 17:49,
99.7,9.9641,1.984520738,100,2020/8/28 17:49,
101.2,9.9727,1.983930341,100,2020/8/28 17:49,
102.3,9.9794,1.974333662,100,2020/8/28 17:49,
103,9.9826,1.97745699,100,2020/8/28 17:49,
103.3,9.9773,1.975503753,100,2020/8/28 17:49,
103.6,9.976,1.974333662,100,2020/8/28 17:49,
104.1,9.9819,1.97745699,100,2020/8/28 17:49,
104.7,9.978,1.974333662,100,2020/8/28 17:49,
105.4,9.9808,1.968698183,100,2020/8/28 17:49,
105.8,9.9754,1.968503937,100,2020/8/28 17:49,
105.5,9.9863,1.965795164,100,2020/8/28 17:49,
104.3,9.9836,1.963286712,100,2020/8/28 17:49,
102.4,9.9757,1.961938395,100,2020/8/28 17:49,
97.7,9.983,1.955416578,100,2020/8/28 17:49,
95.6,9.9711,1.953888238,100,2020/8/28 17:49,
94.3,9.9656,1.953125,100,2020/8/28 17:49,
93.7,9.984,1.947419669,100,2020/8/28 17:49,
93.8,9.9779,1.944390434,100,2020/8/28 17:49,
94.1,9.9688,1.944390434,100,2020/8/28 17:49,
94.6,9.9757,1.939487975,100,2020/8/28 17:49,
95.3,9.9788,1.931993818,100,2020/8/28 17:49,
96.2,9.9785,1.929756851,100,2020/8/28 17:50,
97.2,9.9903,1.923076923,100,2020/8/28 17:50,
98.8,9.9517,1.911680367,100,2020/8/28 17:50,
101,10.0154,1.911680367,100,2020/8/28 17:50,
103.5,9.9886,1.909854851,100,2020/8/28 17:50,
106,9.9832,1.903131081,100,2020/8/28 17:50,
108.1,9.976,1.904036558,100,2020/8/28 17:50,
109.6,9.9766,1.906396114,100,2020/8/28 17:50,
110.2,9.9871,1.899335233,100,2020/8/28 17:50,
109.8,9.9862,1.901502187,100,2020/8/28 17:50,
108.7,9.9687,1.897533207,100,2020/8/28 17:50,
107.1,9.9982,1.895734597,100,2020/8/28 17:50,
105.5,9.9714,1.896453632,100,2020/8/28 17:50,
103.9,9.9747,1.896993419,100,2020/8/28 17:50,
102.6,9.9803,1.891789633,100,2020/8/28 17:50,
101.6,9.9934,1.896453632,100,2020/8/28 17:50,
100.8,9.9823,1.896453632,100,2020/8/28 17:50,
100,9.99,1.893939394,100,2020/8/28 17:50,
99.2,9.974,1.892863903,100,2020/8/28 17:50,
98.7,9.9706,1.895195832,100,2020/8/28 17:50,
98.5,9.9838,1.890359236,100,2020/8/28 17:50,
98.6,9.9938,1.886436521,100,2020/8/28 17:50,
99.1,9.9839,1.888930865,100,2020/8/28 17:50,
99.9,9.9798,1.882884646,100,2020/8/28 17:50,
100.8,9.9984,1.875117195,100,2020/8/28 17:50,
101.2,9.9876,1.877405575,100,2020/8/28 17:50,
101,9.9807,1.873711889,100,2020/8/28 17:50,
100.1,9.9718,1.868984354,100,2020/8/28 17:50,
98.6,9.9843,1.868460389,100,2020/8/28 17:50,
96.9,9.9718,1.865671642,100,2020/8/28 17:50,
95.7,9.9913,1.862545269,100,2020/8/28 17:50,
95.4,9.9766,1.865671642,100,2020/8/28 17:50,
96.2,9.9824,1.865671642,100,2020/8/28 17:50,
97.7,9.9829,1.860119048,100,2020/8/28 17:50,
99.8,9.981,1.862891207,100,2020/8/28 17:50,
101.8,9.9858,1.860119048,100,2020/8/28 17:50,
103.2,9.9943,1.857010278,100,2020/8/28 17:50,
103.7,9.9766,1.859081614,100,2020/8/28 17:50,
103.6,9.9798,1.858390634,100,2020/8/28 17:50,
103.3,9.9987,1.856665429,100,2020/8/28 17:50,
103.2,10.0106,1.854599407,100,2020/8/28 17:50,
103.4,9.964,1.855631843,100,2020/8/28 17:50,
104.1,9.9839,1.851851852,100,2020/8/28 17:50,
