GSR,csv_time_GSR
2.664535039,2021/3/14 10:48
2.674511902,2021/3/14 10:48
2.657454159,2021/3/14 10:48
2.65674814,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.624671916,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.630886609,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.628120894,2021/3/14 10:48
2.628120894,2021/3/14 10:48
2.626740215,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.631578947,2021/3/14 10:48
2.626740215,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.631578947,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.633658151,2021/3/14 10:48
2.666666667,2021/3/14 10:48
2.620545073,2021/3/14 10:48
2.663115846,2021/3/14 10:48
2.656042497,2021/3/14 10:48
2.670226969,2021/3/14 10:48
2.650410814,2021/3/14 10:48
2.643404705,2021/3/14 10:48
2.661698163,2021/3/14 10:48
2.670940171,2021/3/14 10:48
2.654632333,2021/3/14 10:48
2.650410814,2021/3/14 10:48
2.680965147,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.638522427,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.63227165,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.628120894,2021/3/14 10:48
2.631578947,2021/3/14 10:48
2.633658151,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.622606871,2021/3/14 10:48
2.626740215,2021/3/14 10:48
2.626740215,2021/3/14 10:48
2.630886609,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.624671916,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.628120894,2021/3/14 10:48
2.645502646,2021/3/14 10:48
2.629503024,2021/3/14 10:48
2.626740215,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.625360987,2021/3/14 10:48
2.628811777,2021/3/14 10:48
2.624671916,2021/3/14 10:48
2.623983207,2021/3/14 10:48
2.623983207,2021/3/14 10:48
2.622606871,2021/3/14 10:48
2.623983207,2021/3/14 10:48
2.628811777,2021/3/14 10:48
2.623294858,2021/3/14 10:48
2.627430373,2021/3/14 10:48
2.627430373,2021/3/14 10:48
2.623983207,2021/3/14 10:48
2.628811777,2021/3/14 10:48
2.623983207,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.62605042,2021/3/14 10:48
2.625360987,2021/3/14 10:48
2.627430373,2021/3/14 10:48
2.624671916,2021/3/14 10:48
2.631578947,2021/3/14 10:48
2.630194634,2021/3/14 10:48
2.622606871,2021/3/14 10:48
2.625360987,2021/3/14 10:48
2.657454159,2021/3/14 10:48
2.646202699,2021/3/14 10:48
2.66028199,2021/3/14 10:48
2.670226969,2021/3/14 10:48
2.665245203,2021/3/14 10:48
2.652519894,2021/3/14 10:48
2.661698163,2021/3/14 10:48
2.660989888,2021/3/14 10:48
2.648305085,2021/3/14 10:48
2.65674814,2021/3/14 10:48
2.648305085,2021/3/14 10:48
2.65674814,2021/3/14 10:48
2.657454159,2021/3/14 10:48
2.651816494,2021/3/14 10:48
2.658867323,2021/3/14 10:48
2.650410814,2021/3/14 10:48
2.651816494,2021/3/14 10:48
2.658867323,2021/3/14 10:48
2.646903123,2021/3/14 10:48
2.663115846,2021/3/14 10:48
2.652519894,2021/3/14 10:48
2.654632333,2021/3/14 10:48
2.649006623,2021/3/14 10:48
2.664535039,2021/3/14 10:48
2.659574468,2021/3/14 10:48
2.658160553,2021/3/14 10:48
2.654632333,2021/3/14 10:48
2.662406816,2021/3/14 10:48
